year,woven,gsp_value,value,frac
2001,0,168969074,540231934,0.3127713549788043
2001,1,3015802,3058072,0.9861775654726246
2002,0,293355544,579292772,0.506402907440385
2002,1,5382472,5605636,0.9601893522875906
2003,0,377928116,589413336,0.6411936970492979
2003,1,1518386,2098936,0.7234074788368964
2004,0,528162788,742487526,0.7113423047594741
2004,1,0,47046,0
2005,0,529329006,729348768,0.7257556730389925
2005,1,7843614,7869114,0.9967594827066936
2006,0,658561694,880588924,0.7478650662655848
2006,1,13020356,13151958,0.9899937332524936
2007,0,608585336,835967644,0.7280010660316896
2007,1,12330756,12373870,0.9965157222437281
2008,0,677060110,895664506,0.7559304912323945
2008,1,17089944,17114072,0.9985901660341268
2009,0,671000808,898992214,0.7463922351612269
2009,1,14710816,14846076,0.9908891750251043
2010,0,820835628,1105957078,0.7421948322663567
2010,1,18183440,18573438,0.9790023796348312
2011,0,1600862510,1792724432,0.892977460129801
2011,1,325989284,364702066,0.8938509385905151
2012,0,1957958464,2050478180,0.9548789560881843
2012,1,710317250,731403684,0.9711699100492909
2013,0,2267620478,2354534834,0.963086400445244
2013,1,985386146,1010319638,0.9753211844428189
2014,0,2961659788,3197081060,0.9263636837534548
2014,1,1195268722,1262791522,0.9465289409822313
2015,0,3861234960,4212101310,0.9167004010167077
2015,1,1706766152,1771109392,0.9636706573345302
2016,0,4308606520,4766964370,0.9038470157476759
2016,1,1983515896,2064053036,0.960981070449587
2017,0,4929412970,5112904920,0.9641119964343088
2017,1,2192428086,2257254216,0.9712809795456375
2018,0,5219617236,5401338482,0.9663562565824032
2018,1,2345445216,2414684336,0.9713258089400221
