ProductCode,Year,trade_in_1000USD
61,2002,1479536.667
61,2003,2281751.602
61,2004,5055338.987
61,2005,5544975.478
61,2006,6632607.734
61,2007,7354202.697
61,2008,8353000.841
61,2009,8423994.341
61,2010,10376960.84
61,2011,13319112.505
61,2012,12645602.464
61,2013,13313455.576
61,2014,5014072.554
61,2015,17247494.651
61,2016,6118038.81
61,2017,6739467.4
61,2018,7280870.667
61,2019,7126713.996
61,2020,6270508.34
62,2002,2654861.868
62,2003,3173146.706
62,2004,3500408.331
62,2005,3723348.083
62,2006,4402455.976
62,2007,4775755.822
62,2008,5734128.065
62,2009,5857509.923
62,2010,7290552.425
62,2011,9575482.667
62,2012,10397675.52
62,2013,10719107.266
62,2014,1499915.959
62,2015,13838086.764
62,2016,2165976.121
62,2017,3026023.967
62,2018,4857973.862
62,2019,6278864.984
62,2020,5755558.703
